N°,Año,Título,Protagonistas,Director,Género,Ub
23,,GUERREROS DEL ARCO IRIS,MASANABU ANDÓ,,"DRAMA, MARCIALES",11
32,2008,HANCOCK,WILL SMITH,,"Accion, Comedia, Crimen",
13,2011,HANNA,SAOIRSE RONAN,,"ACCIÓN, INTRIGAS",1
27,,HANNIBAL,ANTHONY HOPKINS,,THRILER PSICOLOGICO,10
6,2005,HARRY POTTER Y EL CÁLIZ DE FUEGO,,,"Accion, Aventura, magia",3
8,2009,HARRY POTTER Y EL MISTERIO DEL PRÍNCIPE,,,"Accion, Aventura, magia",3
5,2004,HARRY POTTER Y EL PRISIONERO DE AZKABAN,,,"Accion, Aventura, magia",3
4,2002,HARRY POTTER Y LA CAMARA SECRETA,,,"Accion, Aventura, magia",3
7,2007,HARRY POTTER Y LA ORDEN DEL FÉNIX,,,"Accion, Aventura, magia",3
3,2001,HARRY POTTER Y LA PIEDRA FILOSOFAL,,,"Accion, Aventura, magia",3
9,2010,HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE,,,"Accion, Aventura, magia",3
10,2011,HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE 2,,,"Accion, Aventura, magia",3
22,,HATFIELDS & McCOYS,KEVIN COSTNER,,WESTERN,9
40,2011,HELENO PRINCIPE MALDITO,RODRIGO SANTORO,HENRIQUE FONSECA,Drama,8
20,2004,HELLBOY,,,"Accion, Aventura, Ciencia F.",3
21,2008,HELLBOY II,,,"Accion, Aventura, Ciencia F.",3
17,2012,HEMINGWAY & GELLHORN,KIDMAN - OWEN,PHILIP KAUFMAN,DRAMA  BIOGRAFICO,14
4,2011,HENRY CRIME,Keanu Reeves,,"Comedia, Drama",7
23,2013,HERMOSAS CRIATURAS,JEREMY IRONS,RICHARD LAGRAVENESE,FICCION BRUJERIA,14
7,,HEROE,JET LI,,ARTES MARCIALES,11
14,2011,HISTORIAS CRUZADAS,Emma Stone,,"DRAMA, TEMA RACIAL",6
22,2007,HITMAN,Timothy Oliphant,,"Accion, Ficcion",7
21,2004,HOMBRE EN LLAMAS,Denzel Washington,,"Drama, Accion",7
30,2012,HOMBRE LOBO uno entre nosotros,ED QUIN,,HOMBRES LOBOS,12
25,,HOMBRE MUERTO EN TOMBSTONE,,,,16
32,1997,HOMBRES DE NEGRO,Will Smith,,"Ciencia F. Aventura, Drama",5
22,,HOME RUN,,,,16
24,,HONEY 1,JESSICA ALBA,,COMEDIA MUSICAL,11
25,,HONEY 2,KATERINA GRAHAM,,COMEDIA MUSICAL,11
31,2005,HOSTEL I,,,"Terror, crimen, suspenso",3
32,2007,HOSTEL II,,,"Terror, crimen, suspenso",3
33,2011,HOSTEL III,,,"Terror, crimen, suspenso",3
37,2012,HOTEL TRANSILVANIA,SONY PICTURES,GENNDY TARTAKOVSKY,ANIMADA,14
